vocabulary,definition,short,chinese,long
acquired,1. gotten through environmental forces,"The adjectiveacquireddescribes something you're not born with: you gain or develop it later in life, like youracquiredtaste for coffee",后天获取的,"Acquiredcomes from the Latin wordacquirere, meaning ""to seek in addition to."" You may the verbacquire, meaning ""to get or obtain,"" as in your habit of acquiring pairs of sneakers. So, something acquired is something you have gotten, not something you always had. For example, if you have an acquired habit of reading novels, this is something that developed over time. After all, you weren't born reading!"
lucidity,"1. free from obscurity and easy to understand; the comprehensibility of clear expression
2. a lucid state of mind; not confused","A good word definition should be characterized by itslucidity, or clarity. In other words, it should be clear and easy to understand — like this one.",语言表述的明确性,"Luciditycomes from the Latinlucidusmeaning ""light, bright, clear."" Certainly when something is light, bright, and clear, it's ripe with the quality of lucidity. An easy-to-read textbook is characterized by lucidity.  A person too can possess a quality of lucidity, one that would allow her to express ideas as clearly as possible."
recondite,1. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge,"It's rather difficult to penetrate the meaning ofrecondite. Fitting, because it's an adjective that basically means hard for the average mind to understand.",晦涩的,"If it's really hard to comprehend, then it's safe to say it's recondite.  In the same family as ""abstruse,"" ""esoteric"" and ""totally deep, man,""reconditeis a very serious word that you could use to describe obscure philosophy books, high level mathematical theory, and the series finale of The Sopranos â you know, things that make your brain hurt."
deft,1. skillful in physical movements; especially of the hands,"Deftmeans ""showing cleverness and skill in handling things."" What you want to see in football or basketball is somedefthandling of the ball.",指双手或者身体部分：灵活的,"Some people are physically deft, like accomplished athletes and ballet dancers. Their movements are fast, graceful, and deliberate. Others might be mentally or intellectually deft. You could describe a beautifully written essay as deft, or talk about a politician's deft work on an anti-bullying bill. The source ofdeftis the Old EnglishgedĂŚfte, ""mild or gentle,"" which becamedeftin Middle English along with its meaning of ""apt, skillful, or adept."""
finicky,1. exacting especially about details,"You reject any vegetable that isn't yellow. You like basmati rice, but detest jasmine, Arborio, and brown. You dine at one restaurant, and you always order the same meal. You are afinickyeater — that is, you are quite particular about food.",=fastidious = meticulous,"Fastidious, fussy, picky, persnickety: these are all synonyms forfinicky, and they all suggest someone with extremely exacting tastes and habits, someone almost impossible to please.Finickycan also be used to describe something that demands a great deal of care and attention to detail — a finicky lock might require that you jiggle the key just so.Finickygenerally conveys the sense that the person or thing it describes is quirky and pointlessly precise."
petulant,(of a person or their manner) childishly sulky or bad-tempered: he was moody and petulant | a petulant shake of the head.,,指人或举止：暴躁的,
demur,"1. take exception to
2. (law) a formal objection to an opponent's pleadings
3. enter a demurrer","If your mother asks you to clean your room and you refuse, youdemur. And if your friend invites you to the Death Metal Forever concert but you hesitate, youdemur. Whether you object, politely disagree, or hesitate, youdemur.",法律用词：拒绝请愿,"If Aunt Tilly offers to knit you a sweater, you might politely demur, being reluctant to accept. When she describes the bunnies she plans for the sweater, you would want to strongly demur, explaining that you are moving to Texas next week and will no longer need sweaters. And if you find yourself the defendant in a civil suit, you might file ademurrer, objecting to the plaintiffâs complaint. When you file that demurrer, you also demur."
memento,1. a reminder of past events,"Amementois a keepsake of something you want to remember. You may keep photographs as amementoof a great family reunion — except for that one photo where Aunt Bonnie is wearing the lampshade and singing ""Respect."" No one wants to remember that!",令人回忆往事的东西,"Mementois a Latin imperative that ordered people to ""Remember!"" People love to keep mementos from all sorts of things, including weddings, births, concerts, trips, holidays, and even school. You should be careful not to bore people with your mementos, however. Not everyone wants to see the ribbon you wore in your hair at the homecoming game, and your 8,000 pictures of your trip to Paris (Illinois, not the one in France) might be a bit over the top."
trenchant,"1. having keenness and forcefulness and penetration in thought, expression, or intellect
2. characterized by or full of force and vigor
3. clearly or sharply defined to the mind","If you'retrenchant, it means you think or say smart, sharply worded things that cut right to the heart of the matter. Atrenchantobservation is one that makes people scratch their chins thoughtfully, or wince with embarrassment for whomever you're talking about, or both.",犀利的，一针见血的,"The wordtrenchantoriginates fromtranchant, which in French means ""sharp"" or ""cutting,"" and it's related to the wordtrench, which originally meant a line carved in wood and later came to mean a ditch carved into the earth.  The word is often used to describe political commentary or cultural criticism. One person known for her trenchant wit was the author and critic Mary McCarthy, who once said of the writer Lillian Hellman, ""Every word she writes is a lie, including the 'and' and the 'the'."""
heretofore,1. used in negative statement to describe a situation that has existed up to this point or up to the present time,"When someone saysheretofore, they're describing things that have happened up to the present moment. This formal word means ""thus far"" and often appears in legal or other official documents.",古英语：迄今为止,"This is an old-fashioned word, but it refers to something timeless â events in the past that have gone on until now. To sell a new shoe, an advertiser could say, ""Heretofore, there has never been a shoe like this."" After a disaster, someone could say, ""Heretofore, we never experienced such a catastrophe."" This word draws a line in the sand between the past and the present. This word means about the same asas yetanduntil now."
snappish,1. apt to speak irritably,,指人或者言语：说话暴躁的,
umbrage,1. a feeling of anger caused by being offended,"When someone takesumbrageat something, they find it offensive, and it probably makes them angry.",因被冒犯而生气,"Umbragecomes from the same source asumbrella, the Latinumbra, ""shade, shadow."" The umbrella was invented to keep you in shade, and when you take umbrage at something, you're casting a shadow over the person or thing responsible for the offense. I take umbrage at the suggestion that I'm not a nice person: it's offensive and infuriating. After having devoted my life to helping animals, I might take umbrage at the notion that I've been doing it for publicity purposes: I resent the idea that it was for any other reason than my love of animals."
virtuosity,1. technical skill or fluency or style exhibited by a virtuoso,"Use the nounvirtuosityto describe an impressive skill, such as a classical musician'svirtuosityat playing the cello.","大师级别的实力或者技巧 =very high level of skill","Lots of people have talents, but only a select few, called virtuosos, have the superior quality of virtuosity. A piano virtuoso, for example, is able to play and improvise at the highest level possible. People can also display virtuosity in speaking, in writing computer code, in cooking, or in other skills. In the late fifteenth century,virtuosityspecifically meant ""manly qualities,"" from the Latin rootvirtutem, ""manliness, valor, or excellence."""
untether,,,将…从束缚中解放出来,
attune,1. adjust or accustom to; bring into harmony with,"When youattuneto something, you adjust to it and become aware of the way it works. A new parent has toattuneto a baby's schedule and personality.","be attuned to 了解某事物并且适应它","Preschool teachers need to attune to their students' various needs and interests, and when you visit a foreign country it's important to attune to the unfamiliar culture, so that you're both comfortable and respectful. The verbattuneis almost always followed by ""to,"" and it often shows up in the form of ""be attuned to.""Attunecomes fromtune, ""bring into a state of proper pitch."""
hackneyed,1. repeated too often; overfamiliar through overuse,"Hackneyedis a word for language that doesn't pack a punch since it's overused and trite. ""Roses are red, violets are..."" — enough already?! That's hackneyed stuff.",指小说或者故事情节：无聊透顶的,"Hackneyedis usually used to describe tired writing, but you can also refer to the hackneyed plots of television sit-coms or the hackneyed jokes of your Uncle Fred. But, most often, you will seehackneyedbefore the wordphraseto refer to a specific cliché that is annoying the heck out of someone."
transgress,"1. act in disregard of laws, rules, contracts, or promises
2. commit a sin; violate a law of God or a moral law
3. pass beyond (limits or boundaries)
4. spread over land, especially along a subsiding shoreline","When you go beyond the boundaries, either physically or morally, youtransgress. A river willtransgressits banks as it floods, and students who cheattransgressschool rules.","=trespass 越过（物理或着法律的）边界","Transgresssounds like and means nearly the same thing astrespass. When you transgress a rule, you're breaking it. Religions often talk about transgressing: for Christians, breaking a commandment is transgressing against God by violating his wishes. Any transgression is pushing through a boundary: like a neighbor transgressing by letting their dog into your yard: that's a physical and a legal type of transgressing. The dog got into your territory, and the owners broke a rule."
polymathic,,,博学的,
incongruous,1. lacking in harmony or compatibility or appropriateness,"Something that'sincongruousis inconsistent or incompatible with something else. Remember that Sesame Street song ""One of these things is not like the other""? They were talking about that one thing beingincongruous.",和其他东西不合拍的，不兼容的,"If we break it down into its Latin roots,incongruousis formed by addingin, meaning “not,"" tocongruous, which means “suitable, proper.” So, something that is incongruous is ""not suitable or proper"" — in other words, not in harmony with everything else. That's why burping at the dinner table could be called incongruous behavior: it's not proper and certainly doesn't go well with the main course."
fleeting,1. lasting for a markedly brief time,"Fleetingis an adjective that describes something that happens really fast, or something that doesn’t last as long as you’d like.",转瞬即逝的,"Driving in a car on the highway, you see a unicorn in the woods, but you only get a fleeting glimpse of it because you’re driving too fast.  Bummer.Fleetingcomes from the Old English wordflēotan, which means “float, swim.”  Like a ghost ship floating by on a foggy night, fleeting things disappear as fast as they appear.  Fleeting love may last more than a moment, but it won’t stay for very long, and that’s why it’s called fleeting."
outdo,"1. be or do something to a greater degree
2. get the better of","Tooutdois to beat or surpass: when yououtdoyour brother in a pie-eating contest, you manage to gobble down more lemon meringue than he does. You'll probably regret it later, but at least you'll have that blue ribbon!",超过对手,"Anyone who outdoes another person wins against them in some contest, whether it's an actual competition or an unstated rivalry. You can also outdo your own record, like when you outdo last semester's grades with the help of all theAs you get in English. And you can cheer for your favorite basketball team as they outdo their opponents by easily winning the game."
parsimonious,1. excessively unwilling to spend,Aparsimoniousperson is unwilling to spend a lot of money. You know those people who count up every penny when it's time to split a restaurant bill? You can call themparsimonious. Or cheap.,=penurious 吝啬的,"Stingyis the most common and general synonym, but there are many other near synonyms:thrifty, frugal, penurious, niggardly, penny-pinching, miserly, tight-fisted, tight.The adjectiveparsimoniouswas formed in English from the nounparsimony""the quality of being careful in spending"" (from Latinparcimonia,fromparcere""to spare"") plus the suffixâous""having the quality of."""
felicitous,"1. exhibiting an agreeably appropriate manner or style
2. marked by good fortune",Felicitousdescribes something that's pleasantly apt or fitting.Felicitouswords you write on your friend's birthday card are the ones that perfectly suit the occasion and make her happy when she reads them.,指某件事：适当的令人愉快的；幸运的,"Felicitouscan mean ""appropriate,"" but it also describes something that's lucky. When you plan a trip to the amusement park and it turns out that the sun is shining, thatâs felicitous. If you need to mail a package by a certain date and you make it to the post office just in time, thatâs also felicitous. The Latin root offelicitousisfelix, ""happy or lucky."""
astringent,,,收敛性的,
cavalier,"1. given to haughty disregard of others
2. a gallant or courtly gentleman",Cavaliermeans snobby. Someone who iscavalierhas a bad attitude and regards other people as inferior.,傲慢中带有一些鄙视的,"The wordcavalierdates from mid-16th-century French, from the Latincaballus, meaning “horse.” If you have a cavalier attitude, you look down on other people — as if you are sitting on a very tall horse and other people are sitting down there on the ground."
unkempt,"1. not properly maintained or cared for
2. not neatly combed","Unkemptliterally means “not combed,” but use it to describe anything with a sloppy appearance. Your hair probably looksunkemptwhen you roll out of bed in the morning. Keep it that way if you're going for the rock star look.",特指头发：邋遢蓬松的,"From the fusing ofun-“not” withkempt“neat” comes the adjectiveunkempt.Kempthas fallen out of use, butunkemptpersists as a popular word to describe anything unpolished, rough, or disorderly. Pig sties, the corrals where pigs live, are usually quite unkempt. That's why your mom keeps calling your messy, unkempt train wreck of a room a pig sty."
grumble,"1. make complaining remarks or noises under one's breath
2. make a low noise
3. to utter or emit low dull rumbling sounds
4. show one's unhappiness or critical attitude
5. a complaint uttered in a low and indistinct tone
6. a loud low dull continuous noise","When yougrumble, you complain about something clearly but quietly, in a low mutter. Some peoplegrumblea hundred times a day, about everything from the weather to the traffic to their bad luck at bowling.",低声抱怨,"The verbgrumbleis a great example of onomatopoeia, a word that sounds just like what it means. When you say ""grumble"" out loud, you're practically already grumbling about something. The origin ofgrumbleis the Middle French wordgrommeler, or ""mutter through the teeth."" Just think about the things in life that make you want to mutter through your teeth and you'll probably start to grumble."
fluster,"1. cause to be nervous or upset
2. be flustered; behave in a confused manner
3. a disposition that is confused or nervous and upset","Toflustersomeone is to make them feel upset or agitated. There are many things that mightflusteryou: giving a speech in front of the whole school, solving a challenging math problem, or even getting a love note from an admirer.","=cause to be nervous or upset 使感到不安","If your coworker is about to give the biggest presentation of his life, you’ll probably only fluster, or upset, him if you point out that his socks don’t match. Use the adjective form,flustered, to describe someone when they’re feeling this way. Most of us get flustered once in a while, but if you’re “easilyflustered,” it happens to you quite often. Don’t worry, though; that just gives you more opportunities to practice using this vocabulary word."
flummox,1. be a mystery or bewildering to,"Does the wordflummoxbewilder, confound, dumbfound and generally mystify you? Well, fear no more, becauseflummoxmeans all of these things!",被非负面的事情所困惑,"Things that flummox you are probably not that serious, and often pretty amusing and informal: a TV remote or a crossword puzzle, for example, rather than something major like why your boyfriend or girlfriend broke up with you. (Now that'sunfathomable.) Get this: linguists are actually mystified as to where the wordflummoxcomes from â they're flummoxed, in other words. It may come from an old English word,flummock,meaning ""to make untidy or confuse,"" but no one is really sure. Now, what could be more suitable?"
subservient,"1. compliant and obedient to authority
2. abjectly submissive; characteristic of a slave or servant
3. serving or acting as a means or aid","Subservientmeans ""compliant,"" ""obedient,"" ""submissive,"" or having the qualities of a servant. Something that'ssubservienthas been made useful, or put into the service of, something else.",唯命是从的,"Our wordsubservientis unusual because it actually comes from the Latin word of exactly the same spelling and almost the identical meaning â ""subjecting to"" or ""complying with."" Usually words change a little in spelling or meaning when they are adopted from another language, but this one did not. Maybe the wordsubservientseemed sosubservientthat it could comply with the rules of any language!"
adroit,1. quick or skillful or adept in action or thought,Someone who isadroitis clever and skillful. Anadroitleader will be able to persuade people to go with his ideas. Anadroitsculptor can turn a lump of clay into an object of great beauty.,聪敏的，有技巧的,"If you've ever studied French you know thatdroitmeans ""right,"" both as in ""right of free speech"" and as in ""left and right,"" andĂ  droitmeans both ""turn right"" and ""properly."" Once English people borrowedĂ  droit,they changed the meaning slightly, from doing something ""properly"" to ""doing something well."" You may have heard the expression ""surprisinglyadroit,"" as in, ""For a guy whose wife does all the cooking, he is surprisinglyadroitin the kitchen."""
demarcation,"1. the boundary of a specific area
2. a conceptual separation or distinction","Ademarcationis a line, boundary, or other conceptual separation between things. Geographically, ademarcationmight be the border that separates two countries or the river that divides two regions.",地理上或分类学中的分界线,"Demarcationcomes from the German word formark.Although it's often used as a term regarding geographical borders and boundaries, it can also be used to describe lines between categories or groups. For example, a definite demarcation exists between people who love the Boston Red Sox and those who love the New York Yankees."
wistful,1. showing pensive sadness,"Only one letter separates the two words, but ""wishful"" is having hope for something, andwistfulis having sadness or melancholy about something. ""Wist"" isn't even a word that's used anymore, but you can still bewistful.","=pensive=melancholy 特指在回忆以往时的一种后悔的心情：如果自己当时能那样就不会导致现在这样了","People who appearwistfuloften show a longing for something or a look of serious reflection. One way to describe the adjectivewistfulis as the sad appearance of someone looking back and thinking ""if only..."" A thoughtful or pensive mood centered on something good in the past that is missed or something not so good in the present that could have been better ""if only"" something had gone differently â these things make for a wistful outlook."
whimsical,"1. determined by chance or impulse or whim rather than by necessity or reason
2. indulging in or influenced by fancy","Whimsicalmeans full of or characterized bywhims, which are odd ideas that usually occur to you very suddenly. If you decide at the last minute to fly to Europe, you could say you went there on awhim.",指行为：易受到随机念头影响的,"Whimsicalcan also mean tending toward odd or unpredictable behavior. Bothwhimsicalandwhimare derived from an earlier English wordwhim-wham, which is of unknown origin.Whim-whamhad about the same meaning aswhim, but could also refer to an odd object or piece of clothing."
comportment,1. dignified manner or conduct,"Yourcomportmentis the way you act, especially when you behave well. You might compliment a patient little boy on hiscomportmentas he waits in line for a turn on the swings.",得体的举止,"You can use the nouncomportmentto describe both the way a person behaves and also the way he carries himself â his general manner. A queen's comportment is usually regal, a bit stiff, and dignified. The comportment of a bunch of little kids at an amusement park is very different. The Middle French root iscomportement, ""bearing or behavior,"" from the Latincomportare, ""to bring together or collect."""
backwater,"1. a body of water that was created by a flood or tide or by being held or forced back by a dam
2. a place or condition in which no development or progress is occurring","Backwateris water that’s stagnant and out of the current. It’s a still pool created by a dam or a curve in the river. If a small town is described asbackwater, then not much happens or changes there.",一滩死水；指地方或状态：毫无发展的,"The wordbackwaterhas been around since the 14th Century meaning “water behind a dam.” Now it refers to any flat water, not just the water behind a dam.Backwatercan also describe a place or situation that seems stuck in a rut, unmoved by current events. Literally, backwater is water that’s away from the current; figuratively, backwater is a place that’s away from current events."
coveted,1. greatly desired,"Covetedmeans ""in demand"" or ""desired."" If the mostcovetedseat on the bus for you is the one right next to the bathroom, then you shouldn’t have any problem getting it because most people don't want it.",被许多人梦寐以求的,"Covetedcomes from the Latincupiditas, meaning “passionate desire, eagerness, ambition.” Cupid isn't always involved, though —covetedis another way of saying ""sought after."" The poet Ella Wheeler Wilcox said, “If you are seeking health, wealth, usefulness, skill in any direction, there is nothing and no one who can hinder your attainment of thecovetedboon, if you are willing to work and wait."" So get to work for all that coveted health and wealth!"
garb,"1. clothing of a distinctive style or for a particular occasion
2. provide with clothes or put clothes on","Yourgarbis what you are wearing — your clothing. You may choose thegarbof an auto mechanic, even though you don’t know the difference between a carburetor and a catalytic converter, just because you like the look.",外装,"Within your closet, you probably have the garb of a student — casual clothes that are just right for school — along with the more formal garb you are expected to wear for holidays at your grandmother's house or when giving a speech. When you usually see your buddy, the Marine, in his military garb, it might catch you by surprise when you see him flopped on his couch in the garb of a lazy lounger."
upbeat,"1. pleasantly (even unrealistically) optimistic
2. a contented state of being happy and healthy and prosperous
3. an unaccented beat (especially the last beat of a measure)",,（过度）乐观的,
salacious,"1. suggestive of or tending to moral looseness
2. characterized by lust","Somethingsalaciousis full of juicy details — but they're the kind of raunchy, lusty, dirty details you probably don't want to hear.",（指新闻或者八卦）桃花性的,"Implying a certain kind of moral looseness,salaciousis often used to describe nasty gossip, obscene reports and steamy tales. Salacious things are usually not fit for general public consumption and probably need some kind of parental guidance warning. Think of the tawdry accounts of some politician's affair with a staffer, or a particularly sex-filled reality show on TV."
aghast,"1. struck with fear, dread, or consternation","Would you beaghast,or shocked, to find out that your friends believe in ghosts, or would you share their frightened, oraghast,looks when a floating white being hovers over the campfire?",吓得脸都白了,"Aghastcomes from Old Englishgasten,""frighten,"" which comes in turn fromgāst,""ghost."" If you've seen a look of absolute shock or terror on someone's face — like when your mom (or dad) sees a mouse — you can describe the look with the adjectiveaghast.If someone says ""You should have seen the look on your face!"" after sneaking up on you, you probably looked aghast yourself. ""Boo!"""
maudlin,1. effusively or insincerely emotional,"You can usemaudlinto describe something that brings tears to your eyes, or makes you feel very emotional. Tearjerkers like ""Forrest Gump"" and ""Titanic"" can be described asmaudlin.",催泪的，令人潸然泪下的,"Maudlinwas a form of the name Mary Magdalene, a character from the Bible represented in paintings as a weeping sinner asking forgiveness from Jesus. Maudlin is often paired withsentimental, or evenschlocky, to describe cry-fests, as in ""I can't watch another second of that overly-sentimental,maudlinsoap opera. Turn that schlock off."""
fawn,"1. a young deer
2. have fawns
3. try to gain favor by cringing or flattering
4. show submission or fear
5. a color or pigment varying around a light grey-brown color","Afawnis a young deer, but it's also a verb meaning to try and win favor by flattering. You mightfawnover Bambi if you want to hang out with the cute and fuzzy gang.",争宠，讨人喜欢,"As a verb,fawneither refers to an attempt to get on someoneâs good side, or, oddly enough, to give birth to a deer. If you're a human, fawning is an age-old art that might get you what you want but can be very unattractive. If you ever come into possession of a great fortune, watch out for sudden friends who want to fawn over you and shower you with presents. They probably have dollar signs in their eyes."
unflappability,,,镇定的神态,
nurturant,1. providing physical and emotional care and nourishment,,正在抚养／给予别人的养育的,
puncture,"1. pierce with a pointed object; make a hole into
2. make by piercing
3. cause to lose air pressure or collapse by piercing
4. be pierced or punctured
5. reduce or lessen the size or importance of
6. the act of puncturing or perforating
7. a small hole made by a sharp object
8. loss of air pressure in a tire when a hole is made by some sharp object","When youpuncturesomething, you make a hole in it. Stick a pin in a balloon and you'll not only make kids cry, you'll alsopuncturethe balloon.",刺入,"Use the verbpunctureto describe poking a sharp object into something. You can call the hole you've made a puncture as well: get a big enough puncture in your car tire and you'll need to call for help. In Latin,punctusmeans ""to prick or pierce."" The hardest thing aboutpunctureis knowing how to spell it â remember that there's acin the middle, and you'll probably get it right."
opprobrium,"1. a state of extreme dishonor
2. state of disgrace resulting from public abuse","If you go against or oppose what's good, you might earnopprobrium— the opposite of getting attention for something good. Bad behavior leads toopprobrium. If you throw a soft drink off the theater balcony, theopprobriummight keep you from getting dates to the movies.",因作出某事而感到的耻辱,"Even though the words aren't related, the ""opp-"" of the wordopprobriumsounds a bit like the ""app"" part of ""inappropriate."" Opprobrium isn't an action that leads to disgrace, it's something that comes from the inappropriate thing that was done. A very inappropriate act leads to opprobrium for the person who did the act. ""Infamy"" — extreme dishonor, often with lasting consequences — is a synonym foropprobrium."
vituperation,1. abusive or venomous language used to express blame or censure or bitter deep-seated ill will,"Vituperationis a noun that refers to critical, abusive language. It's always a messy scene when a political debate slips intovituperation.",谩骂,"Vituperationis from the Latin root wordsvitium, meaning ""a fault or defect,"" andparare, meaning provide, which combined to makevituperaremeaning ""disparage.""Vituperationcan also be used to refer to feelings of bitter resentment and deep-seated antipathy toward another â like your vituperation toward the meter maid who just placed that ticket on your windshield."
lucubration,"1. laborious cogitation
2. a solemn literary work that is the product of laborious cogitation",,"=cogitation 苦心而成的著作 刻苦钻研的努力",
panacea,1. hypothetical remedy for all ills or diseases; once sought by the alchemists,"If someone offers you a pill that promises eternal life, don’t take the pill.  It’s apanacea, a remedy that falsely claims to solve every problem ever.",没有实际作用的药或者解决方案,"The Greek wordpanmeans “all” (think of apanorama, a view where you can see everywhere).  The Greek word for “cure” isakēs(which looks like the word “aches”).  Those are the roots ofpanacea, a cure for all aches.  But a panacea doesn’t really cure everything; it just acts like it can.  Use the word to describe an unbelievable solution, like a new law that will make everyone rich, or a robot that does your homework for you."
culprit,1. someone who perpetrates wrongdoing,"Aculpritis a person who does something wrong, like committing a crime. When your wallet got stolen out of your pocket, there was aculpritto blame in the crowd.","culpable 罪犯","The wordculpritcomes from the Anglo French wordscul prit,a contraction ofculpable,which means ""deserving blame."" A culprit isn't always a person; it can be anything that caused something bad to happen â even a sock left on the steps can be a culprit if it makes you slip and fall. Don't confuseculpritwithscapegoat, which is a person or thing that gets blamed for something it didn't do."
eclectic,"1. selecting what seems best of various styles or ideas
2. someone who selects according to the eclectic method","She listens to hip-hop, Gregorian chant, and folk music from the '60s. He's been seen wearing a handmade tuxedo jacket over a thrift-store flannel shirt. They both haveeclectictastes.",包罗万象的，混合许多不同种类的,"The English wordeclecticfirst appeared in the seventeenth century to describe philosophers who did not belong to a particular school of thought, but instead assembled their doctrines by picking and choosing from a variety of philosophical systems. Today, the word can refer to any assemblage of varied parts. You can have an eclectic group of friends (friends from diverse groups), eclectic taste in furniture (a mixture of 18th-century French chairs, Andy Warhol paintings, and Persian rugs), or enjoy eclectic cuisine (fusion cooking that uses ingredients from different national cuisines)."
spurious,"1. plausible but false
2. intended to deceive
3. born out of wedlock","Something false or inauthentic isspurious. Don't trustspuriousideas and stories.Spuriousstatements often are lies, just as aspuriouscoin is a counterfeit coin — a fake.",1. (论据、推理) 不正确的 based on false ideas or bad reasoning,"Anytime you see the wordspurious, you're dealing with things that can't be trusted or accepted at face value. A spurious claim is one that's not backed up by the facts. A spurious argument relies on faulty reasoning — and maybe some lies. Politicians often accuse each other of saying things that are spurious and meant to deceive the voters. As long as you're honest, clear, and not trying to trick anyone, nobody can say you're being spurious."
preponderance,"1. exceeding in heaviness; having greater weight
2. superiority in power or influence
3. a superiority in numbers or amount","If there's apreponderanceof something, there is A LOT of it. If you are a prosecutor, you are looking for apreponderanceof evidence to convince the jury that the defendant is guilty.",数量上的优势,"The nounpreponderancecan also mean superiority in weight or significance. This meaning is particularly reflective of the word's Latin roots in the wordpraeponderare, which means ""outweigh."" The noun can also mean superiority in influence or importance. A country's economicpreponderance, for example, might give it greater influence in international relations."
annihilate,1. kill in large numbers,"Killing ends when the thing you are killing (your sworn enemy, all hope, a pesky mosquito) is dead.Annihilategoes farther—when youannihilatesomething, you wipe all trace of it from the earth.",彻底击败,"You kill a person, but youannihilatea tribe, a town, or even a species. It's nice to think that the human race made it all the way up until the 16th century beforeannihilatecame to mean what it does now. Might this have something to do with the increasing use of gunpowder around this time?"
bemoan,1. regret strongly,"Some people love to complain, don't they? Complainers also tend tobemoanthings, which can be translated to ""Oh no! Why me?""","=moan ","A more casual expression forbemoanis to moan and groan. If you step in a puddle and get your shoes wet, you might moan and groan about, or bemoan, your bad luck to whoever will listen. Just about any bad or annoying thing can be bemoaned. In fact, people love to bemoan how much other people are moaning and groaning about things!"
disinclination,"1. a certain degree of unwillingness
2. that toward which you are inclined to feel dislike","If anyone has ever told you to do something you didn’t want to do, you’ve felt adisinclination, a doubt about participating. Having adisinclinationmeans you’re just not into it, so you hesitate.",unwillingness不情愿（去做某事）,"In Herman Melville’s short novel “Bartleby, the Scrivener,” when anyone asks Bartleby for a favor, he always replies, “I would prefer not to.” That’s an example of a disinclination — the feeling that there are other things you’d rather be doing. If someone tells you to eat a lightbulb, you might feel a disinclination to do that, and for good reason. The Latin roots of the word roughly translate to “unable to bend,” which describes your unwilling disinclination quite well."
deadpan,"1. deliberately impassive in manner
2. without betraying any feeling","Use the worddeadpanto describe someone who uses no expression when speaking, such as thedeadpanway some comedians deliver even their funniest jokes — which can make them even funnier.",指人面无表情的，尤其是在喜剧演员故意在说笑话的时候面无表情，使得笑话更好笑,"Deadpandates to 1928, whenpanwas slang for ""face."" So if you seem to have a ""dead face"" as you say something, it means your face looks very blank — no energy or animation.Deadpanis associated with sarcasm, and like sarcasm, if you use it for comic effect, there's a risk your audience won't pick up on it. Nevertheless, deadpan humor can be funny and popular — witness the success of deadpan humor in the sitcomSeinfeld."
plod,"1. walk heavily and firmly, as when weary, or through mud
2. the act of walking with a slow heavy gait","When youplod, you walk slowly, heavily, and deliberately. You might need toplodthrough the snow to get to the bus stop on time.","=trudge 吃力地跋涉；辛勤地工作","Plodevokes a difficulty in walking â like when you trudge through mud or walk slowly up a steep hill. You might plod home at the end of a long day, or plod through an overgrown field on a hot afternoon. You can also useplodfiguratively, to mean ""work on something boring or monotonous."" The origin ofplodis unknown, but it may have come from the sound of feet on the ground â the sound you make when youplod."
entreat,1. ask for or request earnestly,"Toentreatis to ask for something that is really important, like when youentreatthe jury to spare your life.",恳求某个重要的事情，特指请求赦免一死,"The verbentreatimplies that the person doing the entreating is really serious about what has to happen. Maybe it's even a matter of life and death, like when parents entreat their children to never drive drunk. Synonyms forentreatareplead,beg,beseech, andimploreâ all of these are words not to be used lightly. They carry more weight thanaskandrequest."
wariness,1. the trait of being cautious and watchful,Warinessis the characteristic of being very cautious or careful. It's smart to have certain amount ofwarinesswhen you approach a dog you don't know.,褒义：恰当的谨慎,"Your wariness might cause you not to trust people when you first meet them â reserving judgment or waiting to see if they turn out to be reliable can both be evidence of wariness. Sometimes wariness is entirely appropriate, like when you move through a haunted house or handle a snake. The nounwarinesscomes from the adjectivewary, or ""cautious or careful,"" with its Old English root,wĂŚr, ""prudent, aware, or alert."""
captivating,1. capturing interest as if by a spell,The adjectivecaptivatingdescribes something that's completely enthralling and holds your attention. You might find a marathon of episodes of a TV show socaptivatingthat you forget to eat dinner.,指某个事物或人：有魅力的,"When people are captivating, they're often very intelligent, attractive, charming, or otherwise fascinating. Something that catches and holds your interest is captivating, like a captivating mystery novel you just can't put down. In fact, this adjective comes from the Latincaptivatus, ""to take or capture,"" and early in its use,captivatinghad that literal meaning. Now it's only used to mean capturing interest."
vehement,"1. marked by extreme intensity of emotions or convictions; inclined to react violently; fervid
2. characterized by great force or energy","You can use the adjectivevehementto describe an extremely strong, powerful, or intense emotion or force. The teenager argued for a much later curfew in a vehement speech to her parents; her parents responded with an equally vehement “No way!”","指力量或者感情：强烈的 常用于描述人们对某物的抵触情绪","Vehementis from Latin and was originally applied to intense natural phenomena: pain, heat, wind, etc. It is now more commonly used for intense emotions or beliefs. With the adverb form, people can be vehemently in favor of something, but the more common usage is for people to be vehemently opposed to something. Many people, for example, are vehemently opposed to politicians they didn't vote for, other people spoiling the endings of movies or books, or someone else taking the last piece of chocolate. The stress is on the first syllable (VEE-uh-ment)."
insipid,"1. lacking interest or significance or impact
2. lacking taste or flavor or tang",Somethinginsipidis lacking in flavor or interest. You'll probably find the generic poems inside of greeting cardsinsipid.,"指食物：无味的 指人：无趣的","Insipidcomes from the Latininsipidus, the opposite ofsapiduswhich means flavorful. Because spices and salts are left out, hospital food is usually considered insipid. The most common use of the word is in a metaphorical sense for dull or flat. You might think that your goody-two-shoes cousin is the most insipid girl you've ever met."
